Feature_ID,Category,Feature_Name,Description,User_Role,Page / Screen,API Endpoint,HTTP Method,Auth Required,Notes
F-001,Authentication,Landing Page,Animated intro page with hero section and navigation links to login/register,Public,index.html,—,—,No,Entry point to the app
F-002,Authentication,User Registration,New student creates an account with name / register number / email / department / semester / password,Student,register.html,/api/auth/register,POST,No,Validates email uniqueness and student ID uniqueness; password min 8 chars; password strength indicator shown
F-003,Authentication,User Login,Student or admin logs in with student ID and password,Student / Admin,login.html,/api/auth/login,POST,No,Rate-limited to 20 requests per 15 minutes; returns JWT token; checks isActive flag
F-004,Authentication,View Own Profile (me),Fetch the currently logged-in user's full profile from the server,Student / Admin,Any page (on load),/api/auth/me,GET,Yes,Used by every page to populate the navbar and profile info on load
F-005,Authentication,Change Password,Student or admin changes their own login password from the profile page,Student / Admin,profile.html,/api/auth/change-password,PUT,Yes,Requires current password verification before accepting new password
F-006,Authentication,Update Own Profile,Edit personal details: display name / phone number / semester / profile photo,Student / Admin,profile.html,/api/auth/profile,PUT,Yes,Photo stored as base64 string or URL; parent/guardian details also editable here
F-007,Authentication,Logout,Clear JWT token from local storage and redirect to login page,Student / Admin,All pages (sidebar),—,—,Yes (client-side),No server-side token revocation endpoint exists currently
F-008,Authentication,Theme Toggle,Switch between Dark / Light / Night visual themes,Student / Admin,All pages,—,—,No,Preference saved in localStorage
F-009,Dashboard,Student Dashboard,Overview page with stats cards / quick-access shortcuts / upcoming events / recent notifications,Student,dashboard.html,/api/requests/stats (stats); /api/events (events); /api/notices (notices),GET,Yes,Shows personalized greeting; 12 quick-access tiles; marksheet progress tracker
F-010,Dashboard,Request Statistics Cards,Shows total requests / completed / in-progress / pending counts,Student,dashboard.html,/api/requests/stats,GET,Yes,Data sourced from requests stats endpoint
F-011,Dashboard,Admin Dashboard,Admin overview with total students / pending leaves / pending requests / active notices,Admin,admin-dashboard.html,/api/requests/stats; /api/students; /api/leave; /api/notices,GET,Yes,Shows recent pending leaves and requests in table format
F-012,Profile,View Profile Details,Display full account info: name / ID / email / department / semester / phone / photo,Student,profile.html,/api/auth/me,GET,Yes,Read-only view of all stored fields
F-013,Profile,Edit Personal Details,Update display name / phone number / semester via form,Student,profile.html,/api/auth/profile,PUT,Yes,Only name is mandatory; blank phone/semester allowed
F-014,Profile,Edit Parent/Guardian Details,Update parent name / mother name / parent phone / parent email / occupation / address,Student,profile.html,/api/auth/profile,PUT,Yes,All optional fields; stored in user document
