question,intent,role,entities,category,expected_response
leave approval update,leave_status,student,,General,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
chatbot mqtch rate,admin_analytics,admin,,General,"The admin analytics view covers portal usage and the assistant itself — query volume, intent distribution, match rate, response latency, peak usage hours, thumbs-up/down feedback and the most-accessed knowledge documents."
why is my account innactive,account_status,student,,General,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
am i able to upload for another section,faculty_materials_upload,faculty,,General,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
quick question - identify weak students,faculty_analytics,faculty,,General,"The faculty analytics view summarises your classes — attendance trends, mark distributions and how your students are performing across the subjects you handle."
supplementary test subjects,backlog_query,student,,Marks,"A subject with grade RA (grade point 0, total below 50) counts as a backlog. I can tell you how many backlogs you currently have and which subjects they are in — this also affects placement eligibility, since most recruiters allow zero or at most one backlog."
i need a course completion certificate as an alumnus,alumni_records,alumni,,General,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
"please tell me, i need to correct attendance i marked",faculty_mark_attendance,faculty,,Attendance,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
so can i still join,events_register,student,,General,"You register for an event from the Events page. Seats are capped — if the cap is reached you'll be told the event is full, and you can't register twice for the same event. You can also unregister if you change your mind."
is there a bus from the city,transport_info,student,,Transport,"Transport information comes from the college knowledge base documents. There is no bus-pass or route booking module in the portal — I can share what the uploaded transport documents say, and for route or pass queries you should contact the Admin Office."
how do i apply for a scholarship,scholarship_info,student,,Scholarships,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
admissipn fees,admission_enquiry,applicant,,Admissions,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
